label,carat,cut,color,clarity,depth,table,x,y,z,price
58.00,1.21,Ideal,I,VVS1,61.60,55.00,6.88,6.80,4.21,7086.00
59.00,0.50,Good,E,VS2,64.90,59.00,4.89,4.94,3.19,1389.00
60.00,1.01,Premium,G,VVS2,61.70,59.00,6.44,6.37,3.95,7466.00
61.00,0.51,Ideal,F,VVS2,62.60,57.00,5.13,5.10,3.20,2203.00
62.00,0.27,Premium,E,VS1,61.50,58.00,4.22,4.17,2.58,603.00
63.00,1.80,Very Good,E,SI1,62.20,57.00,7.81,7.89,4.88,17273.00
64.00,0.30,Ideal,F,VS1,61.90,55.00,4.28,4.30,2.66,673.00
65.00,1.13,Premium,H,SI1,60.90,59.00,6.79,6.70,4.11,5050.00
66.00,0.38,Premium,I,VS2,61.70,59.00,4.64,4.60,2.85,812.00
67.00,0.54,Premium,F,SI1,59.70,59.00,5.36,5.30,3.18,1369.00
68.00,0.30,Good,I,SI1,63.20,55.00,4.25,4.29,2.70,405.00
69.00,0.51,Ideal,D,SI2,59.80,55.00,5.23,5.17,3.11,1359.00
70.00,0.32,Premium,J,SI1,62.20,59.00,4.37,4.41,2.73,365.00
71.00,0.57,Ideal,F,VVS1,61.10,55.00,5.36,5.44,3.30,3057.00
72.00,0.44,Ideal,I,VVS2,60.80,56.00,4.90,4.93,2.99,912.00
73.00,0.52,Ideal,F,VS2,62.50,56.00,5.12,5.16,3.21,1629.00
74.00,0.70,Premium,E,VS1,58.40,59.00,5.91,5.83,3.43,2854.00
75.00,0.57,Very Good,G,SI2,59.40,58.00,5.39,5.42,3.21,1214.00
76.00,1.22,Ideal,G,VS2,62.00,57.00,6.88,6.83,4.25,8062.00
77.00,0.59,Ideal,E,SI1,62.00,55.00,5.37,5.40,3.34,1664.00
78.00,0.51,Ideal,G,VS2,62.00,56.00,5.11,5.18,3.19,1343.00
79.00,1.20,Premium,G,SI1,62.20,58.00,6.80,6.70,4.20,5154.00
80.00,2.16,Premium,H,SI2,62.30,57.00,8.29,8.22,5.14,11473.00
81.00,0.31,Very Good,G,VS1,60.50,57.00,4.39,4.42,2.67,640.00
82.00,0.40,Ideal,H,VVS2,61.40,55.70,4.72,4.77,2.92,905.00
83.00,1.68,Ideal,I,VS2,62.10,57.00,7.60,7.54,4.70,10800.00
84.00,0.90,Very Good,D,SI2,63.50,58.00,6.08,6.17,3.89,3918.00
85.00,0.43,Very Good,E,VS2,62.20,58.00,4.81,4.87,3.01,869.00
86.00,0.76,Ideal,H,VS2,61.90,55.00,5.85,5.88,3.64,3016.00
87.00,0.74,Ideal,E,SI2,,59.00,5.92,5.97,3.52,2501.00
88.00,1.26,Ideal,J,VS2,63.20,57.00,6.86,6.81,4.32,5306.00
89.00,0.41,Very Good,I,VVS2,63.10,56.00,4.75,4.72,2.99,1061.00
90.00,0.30,Ideal,H,VVS1,61.80,55.00,4.34,4.37,2.69,665.00
91.00,0.50,Ideal,F,VVS2,62.30,57.00,5.06,5.08,3.16,1850.00
92.00,0.54,Ideal,E,SI1,62.10,56.00,5.24,5.19,3.24,1637.00
93.00,0.40,Very Good,D,VVS2,59.40,61.00,4.77,4.82,2.85,977.00
94.00,1.51,Very Good,H,SI1,61.70,61.00,7.30,7.35,4.52,9218.00
95.00,0.50,Very Good,E,VVS2,60.90,59.00,5.07,5.11,3.10,2003.00
96.00,0.33,Ideal,E,VS1,60.90,57.00,4.47,4.50,2.73,850.00
97.00,0.90,Ideal,G,VVS1,61.60,57.00,6.24,6.16,3.82,5564.00
98.00,0.72,Very Good,I,SI1,63.20,57.00,5.71,5.75,3.62,2345.00
99.00,0.51,Ideal,G,VS2,61.80,55.00,5.15,5.18,3.19,1557.00
100.00,0.50,Good,G,SI1,63.90,57.00,5.02,5.06,3.22,1197.00
101.00,1.02,Fair,J,SI1,66.80,55.00,6.25,6.18,4.15,3027.00
102.00,0.70,Fair,E,SI1,65.20,58.00,5.57,5.54,3.62,2318.00
103.00,1.69,Ideal,F,VS2,62.20,57.00,7.59,7.66,4.74,16789.00
104.00,1.30,Premium,G,VVS1,60.50,60.00,7.01,7.05,4.25,11061.00
105.00,0.31,Ideal,D,VS1,61.10,55.00,4.37,4.40,2.68,774.00
106.00,1.22,Ideal,G,VS1,60.70,57.00,6.93,6.94,4.21,9002.00
107.00,1.00,Premium,F,VVS2,60.60,54.00,6.56,6.52,3.96,8924.00
108.00,0.28,Very Good,G,SI1,62.00,55.00,4.20,4.25,2.62,382.00
109.00,1.01,Good,E,SI1,64.30,59.00,6.31,6.34,4.07,4766.00
110.00,0.41,Very Good,H,VVS2,62.00,56.00,4.77,4.81,2.97,873.00
111.00,0.55,Very Good,E,SI1,59.70,60.00,5.31,5.41,3.20,1559.00
112.00,1.39,Premium,G,VS2,62.00,56.00,7.18,7.14,4.44,8874.00
113.00,0.36,Very Good,H,SI2,61.20,55.00,4.59,4.62,2.81,475.00
114.00,0.23,Very Good,E,VVS2,60.00,56.00,4.03,4.07,2.43,530.00
115.00,1.37,Premium,G,VS2,61.60,59.00,7.11,7.04,4.36,7951.00
116.00,0.31,Ideal,E,VVS1,60.20,61.00,4.40,4.43,2.66,865.00
117.00,0.81,Premium,F,SI1,61.90,59.00,5.97,5.95,3.69,3043.00
118.00,1.00,Premium,F,SI1,,59.00,6.40,6.36,4.00,5292.00
119.00,0.31,Ideal,G,VVS1,61.20,56.00,4.38,4.34,2.67,1046.00
120.00,2.02,Very Good,J,SI2,62.40,55.00,8.05,8.11,5.04,11757.00
121.00,0.34,Ideal,H,IF,61.70,56.00,4.50,4.51,2.78,863.00
122.00,0.30,Ideal,G,VVS1,61.30,56.00,4.30,4.34,2.65,789.00
123.00,1.68,Premium,F,SI1,60.70,62.00,7.72,7.66,4.67,12681.00
124.00,0.77,Ideal,E,SI2,60.70,55.00,6.01,5.95,3.63,2834.00
125.00,2.80,Premium,I,SI2,61.10,59.00,9.03,8.98,5.50,15030.00
126.00,0.90,Premium,I,VS2,61.20,62.00,6.19,6.13,3.77,3338.00
127.00,0.76,Very Good,E,SI1,63.00,59.00,5.76,5.80,3.64,2668.00
128.00,0.55,Premium,G,SI2,60.30,58.00,5.35,5.33,3.22,1186.00
129.00,0.31,Fair,G,VVS2,65.50,58.00,4.25,4.24,2.78,629.00
130.00,0.40,Premium,D,SI2,60.40,59.00,4.80,4.83,2.91,666.00
131.00,1.56,Premium,G,VS2,61.90,58.00,7.44,7.40,4.59,13299.00
132.00,0.30,Ideal,G,VVS2,62.70,57.00,4.26,4.29,2.68,684.00
133.00,0.31,Ideal,E,VS1,61.80,56.00,4.34,4.33,2.68,942.00
134.00,0.31,Ideal,E,VVS1,61.30,56.00,4.38,4.40,2.69,1105.00
135.00,0.30,Ideal,H,VS1,61.60,55.00,4.27,4.30,2.64,526.00
136.00,2.20,Ideal,G,SI2,59.90,57.00,8.54,8.49,5.10,14691.00
137.00,0.73,Very Good,E,VS1,62.10,60.00,5.71,5.79,3.57,3353.00
138.00,0.90,Good,H,VS2,61.50,61.00,6.15,6.24,3.81,4156.00
139.00,0.75,Ideal,F,VS2,62.10,57.00,5.80,5.82,3.61,3081.00
140.00,0.50,Very Good,D,SI1,60.30,59.00,5.11,5.14,3.09,1415.00
141.00,0.40,Ideal,E,VS2,61.40,57.00,4.78,4.75,2.92,1150.00
142.00,0.41,Ideal,D,VVS2,62.30,57.00,4.76,4.74,2.96,1356.00
143.00,0.41,Premium,E,VS1,62.30,59.00,4.74,4.76,2.96,1079.00
144.00,0.36,Premium,J,SI1,61.30,60.00,4.59,4.52,2.79,541.00
145.00,1.71,Ideal,G,VS1,63.00,56.00,7.65,7.58,4.80,17009.00
146.00,1.02,Premium,H,SI1,60.30,59.00,6.50,6.44,3.90,4558.00
147.00,0.59,Very Good,F,SI1,61.70,57.00,5.39,5.43,3.34,1412.00
148.00,0.90,Very Good,D,VS2,63.00,62.00,6.06,6.13,3.84,4668.00
149.00,1.11,Premium,E,SI2,,61.00,6.66,6.61,4.09,4177.00
150.00,0.90,Very Good,F,SI1,62.50,62.00,6.08,6.11,3.81,3950.00
151.00,0.92,Very Good,E,VS1,60.90,61.00,6.22,6.25,3.80,5453.00
152.00,1.45,Very Good,J,VS2,62.80,57.00,7.14,7.17,4.49,6671.00
153.00,1.16,Ideal,I,VS2,61.50,57.00,6.78,6.75,4.16,5302.00
154.00,1.01,Premium,E,SI2,61.60,56.00,6.45,6.40,3.96,4751.00
155.00,0.70,Ideal,D,VVS2,60.90,59.00,5.69,5.73,3.48,3737.00
156.00,0.32,Ideal,G,IF,61.40,55.00,4.42,4.44,2.72,898.00
157.00,0.91,Very Good,G,SI2,60.00,57.00,6.27,6.32,3.78,3531.00
158.00,0.58,Ideal,D,SI2,62.70,56.00,5.32,5.30,3.33,1442.00
159.00,0.51,Ideal,E,SI1,62.40,55.00,5.14,5.09,3.19,1443.00
160.00,0.31,Ideal,F,VS2,62.60,57.00,4.27,4.33,2.69,625.00
161.00,0.97,Ideal,G,SI2,62.70,57.00,6.31,6.28,3.95,4101.00
162.00,1.03,Ideal,J,SI2,62.40,56.00,6.44,6.48,4.03,4054.00
163.00,0.30,Good,E,VVS2,59.80,64.00,4.34,4.29,2.58,814.00
164.00,1.00,Very Good,F,VS2,,55.00,6.39,6.44,3.99,6340.00
165.00,0.50,Very Good,E,VS1,63.90,55.00,4.98,5.03,3.20,1604.00
166.00,0.59,Ideal,I,VVS1,61.20,56.00,5.42,5.46,3.33,2049.00
167.00,0.26,Very Good,E,VS2,60.40,58.00,4.15,4.19,2.52,452.00
168.00,1.00,Good,D,VS1,64.00,58.00,6.27,6.21,3.99,6250.00
169.00,0.90,Very Good,D,SI1,61.00,63.00,6.13,6.10,3.73,4304.00
170.00,0.31,Ideal,D,SI1,62.00,55.00,4.36,4.38,2.71,571.00
171.00,1.53,Very Good,F,SI1,58.50,59.00,7.55,7.62,4.44,11713.00
172.00,0.81,Ideal,F,SI1,61.90,57.00,5.98,6.01,3.71,2977.00
173.00,0.32,Very Good,F,VS2,61.40,58.00,4.37,4.42,2.70,556.00
174.00,0.70,Very Good,F,SI1,60.30,57.00,5.73,5.77,3.47,2343.00
175.00,1.00,Fair,F,VS2,68.30,58.00,5.98,5.95,4.08,4312.00
176.00,0.34,Very Good,G,VS1,60.40,61.00,4.48,4.53,2.72,686.00
177.00,0.71,Ideal,G,SI1,62.50,57.00,5.72,5.64,3.55,2215.00
178.00,0.50,Fair,E,SI1,66.50,58.00,4.87,4.90,3.25,1098.00
179.00,0.32,Ideal,E,VVS2,62.00,54.00,4.41,4.43,2.74,790.00
180.00,1.63,Ideal,I,SI1,61.30,56.00,7.64,7.56,4.66,9694.00
181.00,0.96,Ideal,F,VS1,61.20,56.00,6.34,6.38,3.89,5767.00
182.00,1.24,Premium,H,SI2,61.20,57.00,7.02,6.87,4.25,5694.00
183.00,0.51,Very Good,H,VS1,62.30,57.00,5.10,5.12,3.18,1628.00
184.00,0.40,Good,H,VS2,63.10,62.00,4.75,4.66,2.97,717.00
185.00,1.21,Very Good,I,SI1,63.30,60.00,6.76,6.69,4.26,4404.00
186.00,0.43,Ideal,E,SI1,,56.00,4.82,4.79,3.01,975.00
187.00,0.72,Ideal,F,SI1,61.70,55.00,5.74,5.77,3.55,2470.00
188.00,0.75,Very Good,I,SI1,63.70,56.00,5.73,5.77,3.66,2300.00
189.00,0.42,Ideal,G,VVS2,60.60,56.00,4.86,4.88,2.95,933.00
190.00,0.90,Ideal,E,SI1,61.70,57.00,6.21,6.24,3.84,4940.00
191.00,0.32,Ideal,D,VS2,61.70,54.00,4.38,4.43,2.72,758.00
192.00,0.39,Premium,E,VS2,62.50,60.00,4.64,4.67,2.91,889.00
193.00,1.01,Very Good,I,SI2,63.20,58.00,6.34,6.31,4.00,3309.00
194.00,0.61,Ideal,F,VVS2,61.70,55.00,5.45,5.48,3.37,2833.00
195.00,0.54,Ideal,F,VVS2,61.80,55.00,5.27,5.25,3.25,2333.00
196.00,0.71,Ideal,E,VS2,62.00,55.00,5.72,5.77,3.56,3421.00
197.00,1.01,Very Good,G,VS1,58.80,58.00,6.52,6.61,3.86,6777.00
198.00,0.24,Ideal,F,VVS2,61.60,54.00,4.00,4.09,2.49,552.00
199.00,0.24,Ideal,F,VVS1,61.80,55.00,4.00,4.03,2.48,678.00
200.00,0.58,Premium,F,VS2,62.20,55.00,5.40,5.31,3.33,1586.00
201.00,1.01,Good,E,SI2,63.70,55.00,6.38,6.31,4.05,4118.00
202.00,0.90,Very Good,J,SI1,63.60,57.00,6.07,6.10,3.87,3225.00
203.00,0.72,Ideal,G,SI2,61.50,55.00,5.79,5.82,3.57,2420.00
204.00,0.70,Very Good,G,VS2,63.10,55.00,5.64,5.61,3.55,2657.00
205.00,2.01,Premium,G,SI2,59.40,58.00,8.19,8.15,4.85,15562.00
206.00,0.51,Very Good,G,VS2,62.40,62.00,5.07,5.09,3.17,1438.00
207.00,1.20,Premium,E,VS2,62.20,59.00,6.82,6.78,4.23,8602.00
208.00,1.24,Ideal,G,VS2,62.00,57.00,6.87,6.84,4.25,9188.00
209.00,1.26,Very Good,G,SI1,63.20,61.00,6.87,6.81,4.32,7000.00
210.00,0.33,Ideal,F,VS2,61.30,56.00,4.43,4.47,2.73,666.00
211.00,0.58,Ideal,E,SI1,61.60,55.00,5.33,5.38,3.30,1636.00
212.00,0.41,Ideal,G,VS1,61.90,57.00,4.81,4.76,2.96,961.00
213.00,1.19,Ideal,G,VVS2,60.80,59.00,6.84,6.81,4.15,9524.00
214.00,0.90,Very Good,G,SI2,61.10,55.00,6.21,6.26,3.81,3445.00
215.00,1.52,Premium,I,SI1,61.90,58.00,7.42,7.37,4.58,8631.00
216.00,1.50,Very Good,F,VS1,60.50,55.00,7.39,7.48,4.50,15585.00
217.00,1.22,Ideal,I,SI1,62.30,58.00,6.80,6.82,4.24,6398.00
218.00,0.30,Very Good,G,IF,62.90,58.00,4.21,4.25,2.66,895.00
219.00,1.00,Very Good,E,VS1,63.00,56.00,6.39,6.41,4.03,7453.00
220.00,0.24,Very Good,H,VVS2,61.40,57.00,4.02,4.04,2.47,449.00
221.00,1.01,Very Good,E,VS2,63.40,60.00,6.37,6.31,4.02,6787.00
222.00,1.70,Ideal,J,SI2,60.50,57.00,7.74,7.84,4.71,8505.00
223.00,0.55,Premium,E,VS2,61.40,57.00,5.29,5.27,3.24,1881.00
224.00,0.34,Very Good,E,SI1,60.30,57.00,4.53,4.56,2.74,596.00
225.00,0.44,Ideal,D,VVS1,61.00,57.00,4.91,4.93,3.00,2290.00
226.00,0.79,Ideal,D,SI1,61.10,57.00,5.94,6.00,3.65,3209.00
227.00,0.67,Good,F,VS1,59.80,60.30,5.62,5.69,3.38,2479.00
228.00,0.31,Premium,H,SI1,61.00,61.00,4.39,4.33,2.66,558.00
229.00,1.22,Ideal,H,SI1,61.90,55.00,6.82,6.87,4.24,7870.00
230.00,1.50,Good,H,SI2,59.80,61.00,7.39,7.49,4.45,6798.00
231.00,0.90,Ideal,G,SI2,62.50,56.00,6.15,6.20,3.86,3521.00
232.00,0.38,Ideal,F,VS2,62.20,54.00,4.64,4.66,2.89,870.00
233.00,1.01,Ideal,G,VS1,61.80,57.00,6.45,6.40,3.97,6618.00
234.00,0.30,Ideal,F,VVS2,61.70,56.00,4.32,4.34,2.67,694.00
235.00,0.71,Good,E,SI2,58.80,63.00,5.75,5.88,3.42,2120.00
236.00,1.21,Premium,H,IF,62.20,58.00,6.83,6.80,4.24,8446.00
237.00,1.00,Ideal,F,VS2,62.60,57.00,6.40,6.35,3.99,6804.00
238.00,0.90,Very Good,D,SI2,60.30,63.00,6.12,6.22,3.72,3534.00
239.00,0.91,Very Good,H,VS1,63.40,56.00,6.18,6.12,3.90,4224.00
240.00,0.41,Ideal,D,VVS2,62.50,57.00,4.75,4.72,2.96,1181.00
241.00,0.39,Ideal,E,SI1,61.10,55.00,4.74,4.75,2.90,628.00
242.00,1.28,Premium,H,SI2,60.20,58.00,7.13,7.03,4.26,6093.00
243.00,0.32,Very Good,G,VS2,60.90,58.00,4.42,4.45,2.70,564.00
244.00,0.25,Good,D,VVS2,57.50,61.00,4.16,4.19,2.40,548.00
245.00,1.01,Very Good,G,VVS1,61.80,59.00,6.47,6.41,3.98,8373.00
246.00,0.31,Ideal,H,SI1,61.50,55.00,4.39,4.42,2.71,464.00
247.00,0.90,Ideal,E,SI2,62.60,57.00,6.13,6.20,3.86,3808.00
248.00,0.71,Ideal,I,SI1,62.20,55.00,5.70,5.75,3.56,2376.00
249.00,0.44,Good,E,VS2,59.00,64.00,5.01,4.94,2.93,1001.00
250.00,0.33,Premium,I,VVS2,62.10,56.00,4.45,4.41,2.75,743.00
251.00,0.56,Ideal,G,IF,62.00,56.00,5.30,5.32,3.29,2442.00
252.00,0.24,Very Good,E,VVS2,60.00,57.00,4.07,4.10,2.45,552.00
253.00,0.36,Very Good,F,SI1,60.70,54.00,4.64,4.67,2.83,641.00
254.00,0.41,Ideal,D,VS2,62.80,55.00,4.73,4.70,2.96,1076.00
255.00,0.31,Ideal,F,IF,62.20,55.00,4.35,4.38,2.71,921.00
256.00,0.52,Very Good,G,VS1,62.30,58.00,5.14,5.17,3.21,1629.00
257.00,0.43,Ideal,D,SI1,61.60,56.00,4.86,4.82,2.98,1036.00
258.00,1.53,Premium,G,VS1,61.00,60.00,7.43,7.40,4.52,14344.00
259.00,0.41,Ideal,I,IF,,57.00,4.78,4.81,2.93,953.00
260.00,0.59,Ideal,E,VS2,61.40,58.00,5.38,5.40,3.31,1657.00
261.00,0.40,Very Good,F,SI1,63.10,58.00,4.69,4.66,2.95,882.00
262.00,0.71,Premium,D,VS2,58.70,61.00,5.88,5.85,3.44,2968.00
263.00,1.09,Ideal,F,VVS2,62.50,55.00,6.60,6.52,4.10,9845.00
264.00,2.11,Premium,G,SI2,62.20,60.00,8.19,8.15,5.08,16336.00
265.00,0.34,Ideal,G,VVS1,60.50,55.00,4.53,4.56,2.75,844.00
266.00,0.71,Very Good,E,SI2,62.20,58.00,5.68,5.73,3.55,2313.00
267.00,0.43,Ideal,D,VS2,62.00,55.00,4.86,4.81,3.00,1129.00
268.00,0.38,Ideal,H,SI1,61.20,56.00,4.68,4.63,2.85,834.00
269.00,1.17,Very Good,G,SI1,63.30,61.00,6.65,6.59,4.19,5025.00
270.00,1.22,Ideal,G,VS2,62.00,55.00,6.83,6.91,4.26,7923.00
271.00,0.50,Ideal,G,VVS1,62.20,54.00,5.10,5.13,3.18,1883.00
272.00,0.55,Ideal,F,VVS2,61.50,57.00,5.24,5.27,3.23,2294.00
273.00,0.41,Ideal,H,VVS2,62.00,56.00,4.74,4.78,2.95,899.00
274.00,0.82,Premium,G,SI2,62.30,58.00,5.96,5.98,3.72,2456.00
275.00,0.39,Ideal,G,VS2,62.50,54.00,4.67,4.70,2.93,857.00
276.00,0.53,Very Good,J,VS2,60.90,59.00,5.20,5.27,3.19,1023.00
277.00,0.51,Very Good,G,VVS2,61.70,58.00,5.13,5.18,3.18,1875.00
278.00,0.23,Very Good,F,VS1,59.80,57.00,4.04,4.06,2.42,402.00
279.00,0.36,Premium,E,VS2,61.30,60.00,4.59,4.54,2.80,1013.00
280.00,0.46,Good,D,VS2,63.20,56.00,4.89,4.92,3.10,1205.00
281.00,0.70,Good,H,VVS1,62.70,56.00,5.60,5.66,3.53,2877.00
282.00,2.11,Premium,E,SI2,62.40,61.00,8.19,8.10,5.08,18034.00
283.00,0.70,Premium,E,SI1,59.70,60.00,5.81,5.79,3.46,2394.00
284.00,2.43,Ideal,I,SI2,62.30,59.00,8.54,8.61,5.34,17856.00
285.00,0.30,Ideal,E,VS2,61.30,57.00,4.33,4.29,2.64,844.00
286.00,0.51,Very Good,G,VS1,62.70,56.00,5.08,5.13,3.20,1656.00
287.00,1.03,Premium,J,SI1,61.10,61.00,6.49,6.44,3.95,3749.00
288.00,0.70,Very Good,F,VVS2,58.70,63.00,5.82,5.79,3.41,3234.00
289.00,0.41,Premium,E,VS1,59.90,58.00,4.83,4.88,2.91,1079.00
290.00,0.72,Ideal,F,SI1,61.80,57.00,5.68,5.74,3.53,2440.00
291.00,0.77,Good,H,SI1,63.00,65.00,5.82,5.74,3.64,2393.00
292.00,0.35,Ideal,I,VS1,60.90,57.00,4.59,4.54,2.78,709.00
293.00,0.38,Ideal,D,VS1,62.50,56.00,4.64,4.67,2.91,1067.00
294.00,0.31,Premium,G,VS1,62.10,58.00,4.31,4.35,2.69,625.00
295.00,0.54,Ideal,G,VVS2,61.00,56.00,5.25,5.30,3.22,1985.00
296.00,0.32,Ideal,G,VVS2,61.60,55.00,4.40,4.43,2.72,708.00
297.00,0.40,Ideal,D,SI1,61.80,55.00,4.74,4.78,2.94,772.00
298.00,0.35,Ideal,F,VVS2,62.10,56.00,4.52,4.56,2.82,745.00
299.00,0.31,Very Good,E,SI1,63.20,59.00,4.33,4.28,2.72,698.00
300.00,1.65,Ideal,J,SI1,62.50,56.00,7.59,7.54,4.73,8334.00
301.00,1.69,Ideal,F,SI1,63.00,57.00,7.62,7.55,4.78,13872.00
302.00,0.33,Ideal,E,VS1,61.10,56.00,4.45,4.48,2.73,850.00
303.00,0.52,Very Good,E,VS1,59.10,58.00,5.31,5.38,3.16,1875.00
304.00,0.35,Very Good,H,SI2,63.20,61.00,4.49,4.47,2.83,551.00
305.00,0.42,Very Good,F,VS1,60.90,58.00,4.84,4.88,2.96,910.00
306.00,0.70,Good,F,SI1,64.10,56.00,5.63,5.60,3.60,2289.00
307.00,0.90,Very Good,I,VS2,63.40,57.00,6.07,6.10,3.86,3489.00
308.00,0.71,Very Good,J,SI2,60.90,55.00,5.76,5.87,3.54,1986.00
309.00,0.84,Good,G,VS1,63.60,57.00,5.98,5.93,3.79,3316.00
310.00,0.54,Premium,D,SI1,62.60,57.00,5.21,5.12,3.23,1650.00
311.00,0.70,Ideal,H,SI2,59.90,57.00,5.77,5.74,3.45,2142.00
312.00,0.57,Ideal,F,VVS1,62.50,56.00,5.27,5.32,3.31,2682.00
313.00,0.56,Ideal,I,VS2,62.10,54.00,5.30,5.33,3.30,1237.00
314.00,0.71,Premium,F,VS1,,58.00,5.71,5.67,3.57,2879.00
315.00,0.59,Ideal,H,VS2,62.20,59.00,5.38,5.34,3.33,1648.00
316.00,0.41,Ideal,G,SI2,61.30,56.00,4.78,4.81,2.94,605.00
317.00,1.04,Ideal,D,IF,61.80,57.00,6.49,6.52,4.02,14494.00
318.00,0.38,Premium,F,VS2,60.90,56.00,4.72,4.67,2.86,1026.00
319.00,0.90,Very Good,D,SI1,62.50,59.00,6.11,6.15,3.83,4579.00
320.00,0.73,Ideal,E,VS2,62.40,57.00,5.75,5.79,3.60,3201.00
321.00,0.30,Good,H,SI1,63.40,60.00,4.23,4.25,2.69,432.00
